stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_2093_332501,,"Świątniki Górne Krakowska (nż)","",49.938513,19.943052,,,0,,,
stop_2093_332502,,"Świątniki Górne Krakowska (nż)","",49.938836,19.942777,,,0,,,
stop_2094_104901,,"Głowackiego","",50.075642,19.906485,,,0,,,
stop_2094_104902,,"Głowackiego","",50.075642,19.906485,,,0,,,
stop_2095_332601,,"Lusina Krakowska (nż)","",49.974974,19.923944,,,0,,,
stop_2095_332602,,"Lusina Krakowska (nż)","",49.975638,19.923037,,,0,,,
stop_2097_332701,,"Skawina Podgórki","",49.996756,19.818751,,,0,,,
stop_2097_332791,,"Skawina Podgórki","",49.99674,19.818706,,,0,,,
stop_2098_332801,,"Brzeźnica Dworzec","",49.96681,19.628804,,,0,,,
stop_2099_332901,,"Brzezinka Kuźnia (nż)","",49.962843,19.64963,,,0,,,
stop_2099_332902,,"Brzezinka Kuźnia (nż)","",49.96296,19.649219,,,0,,,
stop_2100_333001,,"Wola Radziszowska Pętla","",49.902472,19.768354,,,0,,,
stop_2101_333101,,"Ochodza Dwór","",49.9647,19.7432,,,0,,,
stop_2101_333102,,"Ochodza Dwór","",49.9647,19.7432,,,0,,,
stop_2102_333201,,"Krzęcin Szczęsna (nż)","",49.948807,19.730431,,,0,,,
stop_2102_333202,,"Krzęcin Szczęsna (nż)","",49.947943,19.730359,,,0,,,
stop_2103_333301,,"Grabie Pętla","",49.92593,19.73407,,,0,,,
stop_2104_333401,,"Skawina Żwirowa (nż)","",49.986888,19.803504,,,0,,,
stop_2104_333402,,"Skawina Żwirowa (nż)","",49.986901,19.803516,,,0,,,
stop_2105_333501,,"Skawina Żwirownia (nż)","",49.98262,19.80713,,,0,,,
stop_2105_333502,,"Skawina Żwirownia (nż)","",49.98239,19.80729,,,0,,,
stop_2106_333601,,"Skawina Piastowska (nż)","",49.98737,19.80616,,,0,,,
stop_2106_333602,,"Skawina Piastowska (nż)","",49.98737,19.80616,,,0,,,
stop_2108_333801,,"Rondo Grunwaldzkie","",50.048561,19.930906,,,0,,,
stop_2108_333802,,"Rondo Grunwaldzkie","",50.048571,19.931179,,,0,,,
stop_2108_333803,,"Rondo Grunwaldzkie","",50.048163,19.932524,,,0,,,
stop_2108_333804,,"Rondo Grunwaldzkie","",50.049802,19.932113,,,0,,,
stop_2108_333805,,"Rondo Grunwaldzkie","",50.048322,19.929663,,,0,,,
stop_2108_333806,,"Rondo Grunwaldzkie","",50.048566,19.933092,,,0,,,
stop_2109_333901,,"Grabowa","",50.069714,19.859262,,,0,,,
stop_2109_333902,,"Grabowa","",50.069742,19.858908,,,0,,,
stop_2110_334001,,"Brzegi Użytek Ekologiczny (nż)","",50.035662,20.087559,,,0,,,
stop_2110_334002,,"Brzegi Użytek Ekologiczny (nż)","",50.034919,20.087452,,,0,,,
stop_2112_334101,,"Węgrzce Trzecia Góra (nż)","",50.109984,19.965924,,,0,,,
stop_2112_334102,,"Węgrzce Trzecia Góra (nż)","",50.110145,19.965749,,,0,,,
stop_2113_334201,,"Górna Wieś Pętla","",50.162605,19.936077,,,0,,,
stop_2114_334301,,"Wola Zachariaszowska Szkoła","",50.150424,19.931613,,,0,,,
stop_2114_334302,,"Wola Zachariaszowska Szkoła","",50.150491,19.931387,,,0,,,
stop_2115_334401,,"Garlica Duchowna Kapliczka (nż)","",50.144172,19.924882,,,0,,,
stop_2115_334402,,"Garlica Duchowna Kapliczka (nż)","",50.143839,19.924997,,,0,,,
stop_2116_334501,,"Garlica Murowana Plac Zabaw","",50.141101,19.927652,,,0,,,
stop_2116_334502,,"Garlica Murowana Plac Zabaw","",50.140716,19.927364,,,0,,,
stop_2117_334601,,"Michałowice Laskowiec (nż)","",50.172655,19.961282,,,0,,,
stop_2117_334602,,"Michałowice Laskowiec (nż)","",50.17255,19.961755,,,0,,,
stop_2118_334701,,"Michałowice Warszawka (nż)","",50.171064,19.975201,,,0,,,
stop_2118_334702,,"Michałowice Warszawka (nż)","",50.170952,19.975402,,,0,,,
stop_2119_334801,,"Narama Graniczna Sklep (nż)","",50.180563,19.944625,,,0,,,
stop_2119_334802,,"Narama Graniczna Sklep (nż)","",50.180386,19.944478,,,0,,,
stop_2120_334901,,"Narama Księża (nż)","",50.18552,19.943886,,,0,,,
stop_2120_334902,,"Narama Księża (nż)","",50.18594,19.943666,,,0,,,
stop_2121_335001,,"Krasieniec Stary Skrzyżowanie (nż)","",50.191104,19.941397,,,0,,,
stop_2121_335002,,"Krasieniec Stary Skrzyżowanie (nż)","",50.190239,19.941721,,,0,,,
stop_2122_335101,,"Krasieniec Stary Kopalina (nż)","",50.195917,19.938827,,,0,,,
stop_2122_335102,,"Krasieniec Stary Kopalina (nż)","",50.196164,19.93864,,,0,,,
stop_2123_335201,,"Krasieniec Zakupny Remiza (nż)","",50.200937,19.939228,,,0,,,
stop_2123_335202,,"Krasieniec Zakupny Remiza (nż)","",50.200927,19.939084,,,0,,,
stop_2124_335301,,"Iwanowice Dworskie Pętla","",50.2206,19.9793,,,0,,,
stop_2125_335401,,"Krasieniec Zakupny Kapliczka","",50.2114,19.9495,,,0,,,
stop_2125_335402,,"Krasieniec Zakupny Kapliczka","",50.2114,19.9495,,,0,,,
stop_2126_335501,,"Michałowice Jana Pawła II (nż)","",50.15486,19.949132,,,0,,,
stop_2126_335502,,"Michałowice Jana Pawła II (nż)","",50.15427,19.949088,,,0,,,
stop_2126_335503,,"Michałowice Jana Pawła II (nż)","",50.155,19.9481,,,0,,,
stop_2127_335601,,"Michałowice Las Michałowski","",50.1588,19.942,,,0,,,
stop_2127_335602,,"Michałowice Las Michałowski","",50.1588,19.942,,,0,,,
stop_2128_335701,,"Owczary Spacerowa (nż)","",50.1721,19.9194,,,0,,,
stop_2128_335702,,"Owczary Spacerowa (nż)","",50.1721,19.9194,,,0,,,
stop_2129_335801,,"Zielonki Jaskinia Zielonkowska (nż)","",50.132201,19.919255,,,0,,,
stop_2129_335802,,"Zielonki Jaskinia Zielonkowska (nż)","",50.132201,19.919255,,,0,,,
stop_2130_335901,,"Krasieniec Zakupny Pod Lipą","",50.2074,19.9379,,,0,,,
stop_2130_335902,,"Krasieniec Zakupny Pod Lipą","",50.2074,19.9379,,,0,,,
stop_2131_336001,,"Wola Zachariaszowska Słoneczna","",50.155589,19.936442,,,0,,,
stop_2131_336002,,"Wola Zachariaszowska Słoneczna","",50.155634,19.936156,,,0,,,
stop_2132_336101,,"Bibice Mokra","",50.13289,19.96682,,,0,,,
stop_2132_336102,,"Bibice Mokra","",50.13259,19.96536,,,0,,,
stop_2133_336201,,"Wola Radziszowska Kapelanka (nż)","",49.90416,19.82569,,,0,,,
stop_2133_336202,,"Wola Radziszowska Kapelanka (nż)","",49.90416,19.82569,,,0,,,
stop_2136_336401,,"Konary Pętla","",49.944392,19.921295,,,0,,,
stop_2148_337101,,"Kryspinów Stopień Wodny (nż)","",50.03328,19.816172,,,0,,,
stop_2148_337102,,"Kryspinów Stopień Wodny (nż)","",50.033271,19.816434,,,0,,,
stop_2149_337201,,"Więcławice Stare Centrum (nż)","",50.154546,20.02673,,,0,,,
stop_2149_337202,,"Więcławice Stare Centrum (nż)","",50.154658,20.028933,,,0,,,
